product_id,카테고리,평점,속성_num,트러블,수분,세정력,보습,메이크업,건성,진정,저자극,세안,화장,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,흡수,쿨링,여드름,모공,지성,피지,거품,각질,향,냄새,건조,유분,약산성,review
A000000126862,skincare,4.8,2,34,35,0,27,0,0,46,27,0,0,0.25,0.6,0.16,22,0,25,3,21,0,0,0,0,0,0,0,0,100
A000000127574,skincare,4.8,4,17,68,0,24,0,0,16,18,0,0,0.42,0.51,0.07,37,0,0,0,18,5,0,0,0,0,38,16,0,99
A000000128988,cleansing,4.7,1,7,3,28,3,9,4,0,41,22,27,0.26,0.62,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,96
A000000129008,skincare,4.8,4,25,34,0,57,0,0,7,21,0,0,0.44,0.5,0.06,39,0,0,0,27,5,0,0,0,0,46,26,0,100
A000000129009,skincare,4.7,4,14,20,0,13,0,0,8,21,0,0,0.21,0.55,0.24,19,0,0,0,14,3,0,0,0,0,17,9,0,99
A000000129026,cleansing,4.7,3,10,0,1,6,0,0,0,70,0,0,0.27,0.61,0.12,0,0,0,0,0,5,0,41,2,3,14,0,0,99
A000000129030,skincare,4.7,2,19,17,0,13,0,0,5,19,0,0,0.24,0.57,0.2,14,0,23,2,11,0,0,0,0,0,0,0,0,100
A000000129032,skincare,4.6,2,32,10,0,1,0,0,36,18,0,0,0.12,0.63,0.25,11,0,42,2,1,0,0,0,0,0,0,0,0,99
A000000129035,skincare,4.7,2,15,12,0,15,0,0,13,24,0,0,0.27,0.52,0.21,7,2,12,0,7,0,0,0,0,0,0,0,0,100
A000000129171,suncare,4.4,4,9,1,0,0,0,0,0,19,0,0,0.3,0.66,0.05,5,0,0,0,3,0,0,0,0,0,3,4,0,100
A000000129771,skincare,4.8,4,20,21,0,46,0,0,24,22,0,0,0.42,0.5,0.08,19,0,0,0,14,52,0,0,0,0,29,24,0,100
A000000129772,skincare,4.7,4,16,14,0,27,0,0,25,17,0,0,0.38,0.53,0.09,11,0,0,0,14,45,0,0,0,0,22,16,0,100
A000000129773,skincare,4.7,4,14,24,0,49,0,0,28,19,0,0,0.45,0.5,0.06,26,0,0,0,12,49,0,0,0,0,32,30,0,100
A000000129774,skincare,4.7,4,22,33,0,61,0,0,32,27,0,0,0.5,0.45,0.05,28,0,0,0,13,62,0,0,0,0,38,43,0,99
A000000130138,skincare,4.7,4,11,27,0,46,0,0,2,16,0,0,0.67,0.31,0.02,22,0,0,0,11,1,0,0,0,0,49,29,0,100
A000000130319,cleansing,4.8,1,27,9,47,3,32,14,12,67,60,61,0.25,0.63,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000130833,bodycare,4.8,4,0,0,0,6,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,25
A000000130949,skincare,4.7,4,5,10,0,23,0,0,5,5,0,0,0.62,0.38,0.01,9,0,0,0,6,0,0,0,0,0,19,1,0,92
A000000130951,skincare,4.7,4,10,3,0,18,0,0,15,6,0,0,0.47,0.45,0.08,6,0,0,0,3,0,0,0,0,0,7,5,0,90
